Start log at 2021-11-21 15:04:48.624204
Board is 11x11.
No,Player,X,Y,Time
1,DefaultAgent1,2,8,25500
2,DefaultAgent2,2,6,93000
3,DefaultAgent1,4,0,25700
4,DefaultAgent2,1,9,5700
5,DefaultAgent1,8,3,5800
6,DefaultAgent2,9,3,5400
7,DefaultAgent1,10,7,19500
8,DefaultAgent2,4,10,5300
9,DefaultAgent1,7,10,5100
10,DefaultAgent2,10,1,5100
11,DefaultAgent1,0,10,5100
12,DefaultAgent2,7,2,5400
13,DefaultAgent1,4,2,9600
14,DefaultAgent2,5,0,117500
15,DefaultAgent1,5,6,10100
16,DefaultAgent2,3,8,9700
17,DefaultAgent1,1,2,9600
18,DefaultAgent2,0,4,9400
19,DefaultAgent1,10,4,9200
20,DefaultAgent2,0,8,9400
21,DefaultAgent1,4,4,9400
22,DefaultAgent2,6,3,9300
23,DefaultAgent1,9,2,9300
24,DefaultAgent2,3,9,9300
25,DefaultAgent1,1,6,9200
26,DefaultAgent2,5,7,9400
27,DefaultAgent1,1,7,9200
28,DefaultAgent2,6,6,10200
29,DefaultAgent1,0,0,9700
30,DefaultAgent2,7,8,10200
31,DefaultAgent1,7,3,10900
32,DefaultAgent2,9,7,10200
33,DefaultAgent1,10,3,49406400
34,DefaultAgent2,8,8,13000
35,DefaultAgent1,0,2,10600
36,DefaultAgent2,1,5,48930000
37,DefaultAgent1,0,9,26400
38,DefaultAgent2,9,4,21300
39,DefaultAgent1,9,10,21700
40,DefaultAgent2,5,10,21900
41,DefaultAgent1,3,4,21000
42,DefaultAgent2,6,0,20500
43,DefaultAgent1,7,4,10300
44,DefaultAgent2,1,3,97800
45,DefaultAgent1,7,9,10300
46,DefaultAgent2,5,1,23600
47,DefaultAgent1,8,10,10400
48,DefaultAgent2,10,2,10300
49,DefaultAgent1,4,6,10300
50,DefaultAgent2,5,3,10100
51,DefaultAgent1,5,2,10500
52,DefaultAgent2,8,5,10400
53,DefaultAgent1,1,4,49647700
54,DefaultAgent2,9,1,19800
55,DefaultAgent1,3,3,17700
56,DefaultAgent2,6,10,47647100
57,DefaultAgent1,2,10,21600
58,DefaultAgent2,1,8,19100
59,DefaultAgent1,8,9,19400
60,DefaultAgent2,2,7,19300
61,DefaultAgent1,8,0,10500
62,DefaultAgent2,6,9,24700
63,DefaultAgent1,10,5,10100
64,DefaultAgent2,6,2,24400
65,DefaultAgent1,0,1,24100
66,DefaultAgent2,4,8,23800
67,DefaultAgent1,10,9,10800
68,DefaultAgent2,2,1,10400
69,DefaultAgent1,4,7,10400
70,DefaultAgent2,2,0,10400
71,DefaultAgent1,3,7,10400
72,DefaultAgent2,8,4,10300
73,DefaultAgent1,2,3,10400
74,DefaultAgent2,8,1,10300
75,DefaultAgent1,0,3,10800
76,DefaultAgent2,3,2,11100
77,DefaultAgent1,4,3,48026600
78,DefaultAgent2,10,6,18600
79,DefaultAgent1,2,9,17200
80,DefaultAgent2,10,8,47737400
81,DefaultAgent1,8,6,23000
82,DefaultAgent2,6,8,22800
83,DefaultAgent1,3,6,22000
84,DefaultAgent2,9,9,22000
85,DefaultAgent1,3,10,24900
86,DefaultAgent2,10,0,10700
87,DefaultAgent1,5,4,11000
88,DefaultAgent2,3,0,11500
89,DefaultAgent1,5,5,11300
90,DefaultAgent2,7,1,10400
91,DefaultAgent1,5,9,10300
92,DefaultAgent2,7,0,10300
93,DefaultAgent1,2,2,10400
94,DefaultAgent2,7,7,10300
95,DefaultAgent1,1,10,11700
96,DefaultAgent2,9,5,12000
97,DefaultAgent1,0,7,47343100
98,DefaultAgent2,8,2,18600
99,DefaultAgent1,4,9,16700
100,DefaultAgent2,0,6,47159300
101,DefaultAgent1,9,6,44700
102,DefaultAgent2,7,6,42600
0,DefaultAgent2,End,Win,False
0,Total,102,451692200,4428354
0,DefaultAgent1,51,195097600,3825443
0,DefaultAgent2,51,192400600,3772560

